"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","resumeDate","resumeGameDate","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","resumedFrom","resumedFromDate","rescheduledFrom","rescheduledFromDate"
"1",649046,"/api/v1.1/game/649046/feed/live","R","2021","2021-05-04T22:05:00Z","2021-05-04",FALSE,1,TRUE,"N","E","N","44-649046-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,1,1,0,"1.000",509,"Fort Myers Mighty Mussels","/api/v1/teams/509",3,FALSE,FALSE,1,0,1,".000",3390,"Bradenton Marauders","/api/v1/teams/3390",2526,"LECOM Park","/api/v1/venues/2526","/api/v1/game/649046/content",NA,NA,NA,NA
"2",648400,"/api/v1.1/game/648400/feed/live","R","2021","2021-05-04T22:10:00Z","2021-05-04",FALSE,1,TRUE,"N","E","N","44-648400-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",479,"Jupiter Hammerheads","/api/v1/teams/479",13,TRUE,FALSE,1,1,0,"1.000",507,"St. Lucie Mets","/api/v1/teams/507",2856,"Clover Park","/api/v1/venues/2856","/api/v1/game/648400/content",NA,NA,NA,NA
"3",648568,"/api/v1.1/game/648568/feed/live","R","2021","2021-05-04T22:30:00Z","2021-05-04",FALSE,1,TRUE,"N","E","N","44-648568-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game","Not open to public",NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",450,"Daytona Tortugas","/api/v1/teams/450",4,TRUE,FALSE,1,1,0,"1.000",279,"Palm Beach Cardinals","/api/v1/teams/279",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/648568/content",NA,NA,NA,NA
"4",649141,"/api/v1.1/game/649141/feed/live","R","2021","2021-05-04T22:30:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649141-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",436,"Fredericksburg Nationals","/api/v1/teams/436",16,TRUE,FALSE,1,1,0,"1.000",481,"Lynchburg Hillcats","/api/v1/teams/481",2803,"Bank of the James Stadium","/api/v1/venues/2803","/api/v1/game/649141/content",NA,NA,NA,NA
"5",648343,"/api/v1.1/game/648343/feed/live","R","2021","2021-05-04T22:30:00Z","2021-05-04",FALSE,1,TRUE,"N","E","N","44-648343-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,FALSE,FALSE,1,0,1,".000",424,"Dunedin Blue Jays","/api/v1/teams/424",11,TRUE,FALSE,1,1,0,"1.000",587,"Tampa Tarpons","/api/v1/teams/587",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/648343/content",NA,NA,NA,NA
"6",649101,"/api/v1.1/game/649101/feed/live","R","2021","2021-05-04T23:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649101-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,1,1,0,"1.000",485,"Down East Wood Ducks","/api/v1/teams/485",4,FALSE,FALSE,1,0,1,".000",487,"Kannapolis Cannon Ballers","/api/v1/teams/487",2764,"Atrium Health Ballpark","/api/v1/venues/2764","/api/v1/game/649101/content",NA,NA,NA,NA
"7",648851,"/api/v1.1/game/648851/feed/live","R","2021","2021-05-04T23:00:00Z","2021-05-04",FALSE,1,TRUE,"N","E","N","44-648851-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,1,1,0,"1.000",570,"Lakeland Flying Tigers","/api/v1/teams/570",2,FALSE,FALSE,1,0,1,".000",566,"Clearwater Threshers","/api/v1/teams/566",2700,"BayCare Ballpark","/api/v1/venues/2700","/api/v1/game/648851/content",NA,NA,NA,NA
"8",649545,"/api/v1.1/game/649545/feed/live","R","2021","2021-05-04T23:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649545-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,1,0,1,".000",3712,"Fayetteville Woodpeckers","/api/v1/teams/3712",6,TRUE,FALSE,1,1,0,"1.000",249,"Carolina Mudcats","/api/v1/teams/249",2625,"Five County Stadium","/api/v1/venues/2625","/api/v1/game/649545/content",NA,NA,NA,NA
"9",649477,"/api/v1.1/game/649477/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649477-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,NA,NA,NA,"Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,1,0,1,".000",521,"Myrtle Beach Pelicans","/api/v1/teams/521",6,TRUE,FALSE,1,1,0,"1.000",233,"Charleston RiverDogs","/api/v1/teams/233",2540,"Joseph P. Riley Jr. Ballpark","/api/v1/venues/2540","/api/v1/game/649477/content",NA,NA,NA,NA
"10",649341,"/api/v1.1/game/649341/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-649341-2021-05-04","2021","night",9,FALSE,NA,6,1,"Regular Season","S","N","Normal Game",NA,"2021-05-05T21:05:00Z","2021-05-05",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,1,0,1,".000",414,"Salem Red Sox","/api/v1/teams/414",7,TRUE,FALSE,1,1,0,"1.000",548,"Delmarva Shorebirds","/api/v1/teams/548",2729,"Arthur W. Perdue Stadium","/api/v1/venues/2729","/api/v1/game/649341/content",NA,NA,NA,NA
