"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","description","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",572977,"/api/v1.1/game/572977/feed/live","R","2019","2019-04-04T22:30:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-572977-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,1,0,1,".000",479,"Jupiter Hammerheads","/api/v1/teams/479",4,TRUE,FALSE,1,1,0,"1.000",279,"Palm Beach Cardinals","/api/v1/teams/279",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/572977/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",572487,"/api/v1.1/game/572487/feed/live","R","2019","2019-04-04T22:30:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-572487-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","at Spectrum Field","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,1,0,1,".000",566,"Clearwater Threshers","/api/v1/teams/566",11,TRUE,FALSE,1,1,0,"1.000",424,"Dunedin Blue Jays","/api/v1/teams/424",2700,"Spectrum Field","/api/v1/venues/2700","/api/v1/game/572487/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",572907,"/api/v1.1/game/572907/feed/live","R","2019","2019-04-04T22:30:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-572907-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,0,1,".000",587,"Tampa Tarpons","/api/v1/teams/587",4,TRUE,FALSE,1,1,0,"1.000",570,"Lakeland Flying Tigers","/api/v1/teams/570",2511,"Publix Field at Joker Marchant Stadium","/api/v1/venues/2511","/api/v1/game/572907/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",572767,"/api/v1.1/game/572767/feed/live","R","2019","2019-04-04T22:30:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-572767-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,0,1,".000",2730,"Charlotte Stone Crabs","/api/v1/teams/2730",11,TRUE,FALSE,1,1,0,"1.000",509,"Fort Myers Miracle","/api/v1/teams/509",2862,"CenturyLink Sports Complex","/api/v1/venues/2862","/api/v1/game/572767/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",573052,"/api/v1.1/game/573052/feed/live","R","2019","2019-04-04T22:30:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-573052-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",1,TRUE,FALSE,1,1,0,"1.000",3390,"Bradenton Marauders","/api/v1/teams/3390",0,FALSE,FALSE,1,0,1,".000",507,"St. Lucie Mets","/api/v1/teams/507",2856,"First Data Field","/api/v1/venues/2856","/api/v1/game/573052/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",582223,"/api/v1.1/game/582223/feed/live","R","2019","2019-04-04T22:35:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-582223-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",10,TRUE,FALSE,1,1,0,"1.000",414,"Salem Red Sox","/api/v1/teams/414",2,FALSE,FALSE,1,0,1,".000",426,"Wilmington Blue Rocks","/api/v1/teams/426",2793,"Frawley Stadium","/api/v1/venues/2793","/api/v1/game/582223/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",581733,"/api/v1.1/game/581733/feed/live","R","2019","2019-04-04T23:00:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-581733-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,1,0,1,".000",249,"Carolina Mudcats","/api/v1/teams/249",6,TRUE,FALSE,1,1,0,"1.000",485,"Down East Wood Ducks","/api/v1/teams/485",2777,"Grainger Stadium","/api/v1/venues/2777","/api/v1/game/581733/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",581873,"/api/v1.1/game/581873/feed/live","R","2019","2019-04-04T23:00:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-581873-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,1,1,0,"1.000",580,"Winston-Salem Dash","/api/v1/teams/580",4,FALSE,FALSE,1,0,1,".000",493,"Frederick Keys","/api/v1/teams/493",2782,"Nymeo Field","/api/v1/venues/2782","/api/v1/game/581873/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",572557,"/api/v1.1/game/572557/feed/live","R","2019","2019-04-04T23:05:00Z","2019-04-04",FALSE,1,TRUE,"N","N","N","44-572557-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,1,1,0,"1.000",503,"Florida Fire Frogs","/api/v1/teams/503",1,FALSE,FALSE,1,0,1,".000",450,"Daytona Tortugas","/api/v1/teams/450",2787,"Jackie Robinson Ballpark","/api/v1/venues/2787","/api/v1/game/572557/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",582013,"/api/v1.1/game/582013/feed/live","R","2019","2019-04-04T23:05:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-582013-2019-04-04","2019","night",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",14,TRUE,FALSE,1,1,0,"1.000",481,"Lynchburg Hillcats","/api/v1/teams/481",5,FALSE,FALSE,1,0,1,".000",521,"Myrtle Beach Pelicans","/api/v1/teams/521",2747,"TicketReturn.com Field","/api/v1/venues/2747","/api/v1/game/582013/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
