"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","rescheduleDate","rescheduleGameDate","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","rescheduledFrom","rescheduledFromDate","description","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",644231,"/api/v1.1/game/644231/feed/live","R","2021","2021-05-04T22:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-644231-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,9,TRUE,FALSE,1,1,0,"1.000",459,"Dayton Dragons","/api/v1/teams/459",4,FALSE,FALSE,1,0,1,".000",456,"Great Lakes Loons","/api/v1/teams/456",3189,"Dow Diamond","/api/v1/venues/3189","/api/v1/game/644231/content",NA,NA,NA,NA,NA,NA,NA
"2",643623,"/api/v1.1/game/643623/feed/live","R","2021","2021-05-04T22:30:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-643623-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,1,1,0,"1.000",448,"Hickory Crawdads","/api/v1/teams/448",5,FALSE,FALSE,1,0,1,".000",477,"Greensboro Grasshoppers","/api/v1/teams/477",2723,"First National Bank Field","/api/v1/venues/2723","/api/v1/game/643623/content",NA,NA,NA,NA,NA,NA,NA
"3",643803,"/api/v1.1/game/643803/feed/live","R","2021","2021-05-04T22:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-643803-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,1,1,0,"1.000",453,"Brooklyn Cyclones","/api/v1/teams/453",2,FALSE,FALSE,1,0,1,".000",573,"Asheville Tourists","/api/v1/teams/573",2807,"McCormick Field","/api/v1/venues/2807","/api/v1/game/643803/content",NA,NA,NA,NA,NA,NA,NA
"4",643104,"/api/v1.1/game/643104/feed/live","R","2021","2021-05-04T23:00:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-643104-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,11,TRUE,FALSE,1,1,0,"1.000",432,"Rome Braves","/api/v1/teams/432",5,FALSE,FALSE,1,0,1,".000",580,"Winston-Salem Dash","/api/v1/teams/580",4089,"Truist Stadium","/api/v1/venues/4089","/api/v1/game/643104/content",NA,NA,NA,NA,NA,NA,NA
"5",643149,"/api/v1.1/game/643149/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-643149-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,1,1,0,"1.000",488,"Aberdeen IronBirds","/api/v1/teams/488",1,FALSE,FALSE,1,0,1,".000",426,"Wilmington Blue Rocks","/api/v1/teams/426",2793,"Frawley Stadium","/api/v1/venues/2793","/api/v1/game/643149/content",NA,NA,NA,NA,NA,NA,NA
"6",644135,"/api/v1.1/game/644135/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-644135-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,1,FALSE,FALSE,1,0,1,".000",437,"Lake County Captains","/api/v1/teams/437",8,TRUE,FALSE,1,1,0,"1.000",499,"Lansing Lugnuts","/api/v1/teams/499",2822,"Jackson Field","/api/v1/venues/2822","/api/v1/game/644135/content",NA,NA,NA,NA,NA,NA,NA
"7",643256,"/api/v1.1/game/643256/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-643256-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,2,FALSE,FALSE,1,0,1,".000",537,"Hudson Valley Renegades","/api/v1/teams/537",6,TRUE,FALSE,1,1,0,"1.000",427,"Jersey Shore BlueClaws","/api/v1/teams/427",2866,"FirstEnergy Park","/api/v1/venues/2866","/api/v1/game/643256/content",NA,NA,NA,NA,NA,NA,NA
"8",644016,"/api/v1.1/game/644016/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-644016-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,1,0,1,".000",565,"Quad Cities River Bandits","/api/v1/teams/565",7,TRUE,FALSE,1,1,0,"1.000",550,"South Bend Cubs","/api/v1/teams/550",2850,"Four Winds Field","/api/v1/venues/2850","/api/v1/game/644016/content",NA,NA,NA,NA,NA,NA,NA
"9",644307,"/api/v1.1/game/644307/feed/live","R","2021","2021-05-04T23:05:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-644307-2021-05-04","2021","night",9,FALSE,120,5,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,1,0,1,".000",582,"West Michigan Whitecaps","/api/v1/teams/582",8,TRUE,FALSE,1,1,0,"1.000",584,"Fort Wayne TinCaps","/api/v1/teams/584",3790,"Parkview Field","/api/v1/venues/3790","/api/v1/game/644307/content",NA,NA,NA,NA,NA,NA,NA
"10",644626,"/api/v1.1/game/644626/feed/live","R","2021","2021-05-04T23:35:00Z","2021-05-04",FALSE,1,TRUE,"N","Y","N","44-644626-2021-05-04","2021","night",9,FALSE,120,6,1,"Regular Season","S","N","Normal Game",NA,NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,1,0,1,".000",443,"Peoria Chiefs","/api/v1/teams/443",7,TRUE,FALSE,1,1,0,"1.000",492,"Cedar Rapids Kernels","/api/v1/teams/492",2857,"Perfect Game Field","/api/v1/venues/2857","/api/v1/game/644626/content",NA,NA,NA,NA,NA,NA,NA
