"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","resumeDate","resumeGameDate","rescheduleDate","rescheduleGameDate","status.reason","resumedFrom","resumedFromDate","rescheduledFrom","rescheduledFromDate","description"
"1",578386,"/api/v1.1/game/578386/feed/live","R","2019","2019-06-14T20:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578386-2019-06-14","2019","day",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,1,1,0,"1.000",486,"Spokane Indians","/api/v1/teams/486",1,FALSE,FALSE,1,0,1,".000",435,"Vancouver Canadians","/api/v1/teams/435",2817,"Nat Bailey Stadium","/api/v1/venues/2817","/api/v1/game/578386/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",578549,"/api/v1.1/game/578549/feed/live","R","2019","2019-06-14T23:00:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578549-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,FALSE,FALSE,1,0,1,".000",586,"Staten Island Yankees","/api/v1/teams/586",5,TRUE,FALSE,1,1,0,"1.000",453,"Brooklyn Cyclones","/api/v1/teams/453",2795,"MCU Park","/api/v1/venues/2795","/api/v1/game/578549/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",578511,"/api/v1.1/game/578511/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578511-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,1,0,1,".000",458,"Auburn Doubledays","/api/v1/teams/458",2,TRUE,FALSE,1,1,0,"1.000",511,"Batavia Muckdogs","/api/v1/teams/511",2758,"Dwyer Stadium","/api/v1/venues/2758","/api/v1/game/578511/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",578435,"/api/v1.1/game/578435/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578435-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",1,FALSE,FALSE,1,0,1,".000",537,"Hudson Valley Renegades","/api/v1/teams/537",2,TRUE,FALSE,1,1,0,"1.000",488,"Aberdeen IronBirds","/api/v1/teams/488",2837,"Leidos Field at Ripken Stadium","/api/v1/venues/2837","/api/v1/game/578435/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",578663,"/api/v1.1/game/578663/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578663-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,0,1,".000",571,"Connecticut Tigers","/api/v1/teams/571",6,TRUE,FALSE,1,1,0,"1.000",558,"Lowell Spinners","/api/v1/teams/558",2760,"Edward A. LeLacheur Park","/api/v1/venues/2760","/api/v1/game/578663/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",578853,"/api/v1.1/game/578853/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578853-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,1,0,1,".000",577,"Tri-City ValleyCats","/api/v1/teams/577",4,TRUE,FALSE,1,1,0,"1.000",462,"Vermont Lake Monsters","/api/v1/teams/462",2744,"Centennial Field","/api/v1/venues/2744","/api/v1/game/578853/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",578891,"/api/v1.1/game/578891/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578891-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",4,TRUE,FALSE,1,1,0,"1.000",1174,"State College Spikes","/api/v1/teams/1174",3,FALSE,FALSE,1,0,1,".000",449,"Williamsport Crosscutters","/api/v1/teams/449",2735,"BB&T Ballpark","/api/v1/venues/2735","/api/v1/game/578891/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",578929,"/api/v1.1/game/578929/feed/live","R","2019","2019-06-14T23:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578929-2019-06-14","2019","night",9,FALSE,120,2,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,1,1,0,"1.000",545,"Mahoning Valley Scrappers","/api/v1/teams/545",4,FALSE,FALSE,1,0,1,".000",5020,"West Virginia Black Bears","/api/v1/teams/5020",4965,"Monongalia County Ballpark","/api/v1/venues/4965","/api/v1/game/578929/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",578272,"/api/v1.1/game/578272/feed/live","R","2019","2019-06-15T01:35:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578272-2019-06-14","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,FALSE,FALSE,1,0,1,".000",480,"Boise Hawks","/api/v1/teams/480",7,TRUE,FALSE,1,1,0,"1.000",578,"Salem-Keizer Volcanoes","/api/v1/teams/578",2859,"Volcanoes Stadium","/api/v1/venues/2859","/api/v1/game/578272/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",578158,"/api/v1.1/game/578158/feed/live","R","2019","2019-06-15T02:05:00Z","2019-06-14",FALSE,1,TRUE,"N","Y","N","44-578158-2019-06-14","2019","night",9,FALSE,120,3,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",0,FALSE,FALSE,1,0,1,".000",419,"Hillsboro Hops","/api/v1/teams/419",2,TRUE,FALSE,1,1,0,"1.000",461,"Eugene Emeralds","/api/v1/teams/461",4109,"PK Park","/api/v1/venues/4109","/api/v1/game/578158/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
