"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","inningBreakLength","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",642055,"/api/v1.1/game/642055/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-642055-2021-03-01","2021","day",9,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,3,1,1,".500",117,"Houston Astros","/api/v1/teams/117",6,FALSE,FALSE,4,0,1,".000",120,"Washington Nationals","/api/v1/teams/120",5000,"The Ballpark of the Palm Beaches","/api/v1/venues/5000","/api/v1/game/642055/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",641630,"/api/v1.1/game/641630/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-641630-2021-03-01","2021","day",6,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,6,TRUE,FALSE,5,2,0,"1.000",142,"Minnesota Twins","/api/v1/teams/142",5,FALSE,FALSE,5,1,1,".500",139,"Tampa Bay Rays","/api/v1/teams/139",2534,"Charlotte Sports Park","/api/v1/venues/2534","/api/v1/game/641630/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",641587,"/api/v1.1/game/641587/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",TRUE,1,TRUE,"N","E","N","14-641587-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","FT",FALSE,"F","Tied",4,NA,FALSE,6,0,1,".000",110,"Baltimore Orioles","/api/v1/teams/110",4,NA,FALSE,5,0,1,".000",143,"Philadelphia Phillies","/api/v1/teams/143",2700,"BayCare Ballpark","/api/v1/venues/2700","/api/v1/game/641587/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",642143,"/api/v1.1/game/642143/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-642143-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,5,1,1,".500",144,"Atlanta Braves","/api/v1/teams/144",3,FALSE,FALSE,5,0,2,".000",111,"Boston Red Sox","/api/v1/teams/111",4309,"JetBlue Park","/api/v1/venues/4309","/api/v1/game/642143/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",641961,"/api/v1.1/game/641961/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",FALSE,1,TRUE,"N","E","N","14-641961-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,0,FALSE,FALSE,3,0,1,".000",121,"New York Mets","/api/v1/teams/121",2,TRUE,FALSE,4,2,0,"1.000",146,"Miami Marlins","/api/v1/teams/146",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/641961/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",641538,"/api/v1.1/game/641538/feed/live","S","2021","2021-03-01T18:05:00Z","2021-03-01",FALSE,1,TRUE,"N","E","N","14-641538-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,4,FALSE,FALSE,5,1,1,".500",116,"Detroit Tigers","/api/v1/teams/116",5,TRUE,FALSE,4,1,1,".500",147,"New York Yankees","/api/v1/teams/147",2523,"George M. Steinbrenner Field","/api/v1/venues/2523","/api/v1/game/641538/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",641634,"/api/v1.1/game/641634/feed/live","S","2021","2021-03-01T18:07:00Z","2021-03-01",TRUE,1,TRUE,"N","E","N","14-641634-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","FT",FALSE,"F","Tied",2,NA,FALSE,4,1,0,"1.000",134,"Pittsburgh Pirates","/api/v1/teams/134",2,NA,FALSE,4,1,0,"1.000",141,"Toronto Blue Jays","/api/v1/teams/141",2536,"TD Ballpark","/api/v1/venues/2536","/api/v1/game/641634/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",642202,"/api/v1.1/game/642202/feed/live","S","2021","2021-03-01T20:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-642202-2021-03-01","2021","day",9,FALSE,1,1,"Spring Training","S","N","Normal Game",120,"Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,4,2,0,"1.000",118,"Kansas City Royals","/api/v1/teams/118",6,FALSE,FALSE,3,1,1,".500",114,"Cleveland Indians","/api/v1/teams/114",3834,"Goodyear Ballpark","/api/v1/venues/3834","/api/v1/game/642202/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",642102,"/api/v1.1/game/642102/feed/live","S","2021","2021-03-01T20:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-642102-2021-03-01","2021","day",6,FALSE,2,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Completed Early","FO",FALSE,"F",NA,0,FALSE,FALSE,4,1,1,".500",115,"Colorado Rockies","/api/v1/teams/115",10,TRUE,FALSE,4,2,0,"1.000",119,"Los Angeles Dodgers","/api/v1/teams/119",3809,"Camelback Ranch","/api/v1/venues/3809","/api/v1/game/642102/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",641999,"/api/v1.1/game/641999/feed/live","S","2021","2021-03-01T20:05:00Z","2021-03-01",FALSE,1,TRUE,"N","N","N","14-641999-2021-03-01","2021","day",7,FALSE,1,1,"Spring Training","S","N","Normal Game",NA,"Final","F","Final","F",FALSE,"F",NA,5,FALSE,FALSE,4,0,2,".000",113,"Cincinnati Reds","/api/v1/teams/113",13,TRUE,FALSE,4,1,1,".500",133,"Oakland Athletics","/api/v1/teams/133",2507,"Hohokam Stadium","/api/v1/venues/2507","/api/v1/game/641999/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
