"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","status.reason","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",565496,"/api/v1.1/game/565496/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-565496-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,7,TRUE,FALSE,7,4,3,".571",121,"New York Mets","/api/v1/teams/121",1,FALSE,FALSE,7,4,3,".571",116,"Detroit Tigers","/api/v1/teams/116",2511,"Publix Field at Joker Marchant Stadium","/api/v1/venues/2511","/api/v1/game/565496/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",564917,"/api/v1.1/game/564917/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-564917-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,8,4,4,".500",139,"Tampa Bay Rays","/api/v1/teams/139",5,FALSE,TRUE,7,3,3,".500",110,"Baltimore Orioles","/api/v1/teams/110",2508,"Ed Smith Stadium","/api/v1/venues/2508","/api/v1/game/564917/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",566948,"/api/v1.1/game/566948/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-566948-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,8,3,4,".429",111,"Boston Red Sox","/api/v1/teams/111",4,TRUE,FALSE,8,5,3,".625",142,"Minnesota Twins","/api/v1/teams/142",2862,"CenturyLink Sports Complex","/api/v1/venues/2862","/api/v1/game/566948/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",567047,"/api/v1.1/game/567047/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-567047-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,FALSE,TRUE,7,3,4,".429",134,"Pittsburgh Pirates","/api/v1/teams/134",7,TRUE,FALSE,8,5,2,".714",143,"Philadelphia Phillies","/api/v1/teams/143",2700,"Spectrum Field","/api/v1/venues/2700","/api/v1/game/567047/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",567143,"/api/v1.1/game/567143/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-567143-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,FALSE,TRUE,7,1,5,".167",141,"Toronto Blue Jays","/api/v1/teams/141",4,TRUE,FALSE,7,4,3,".571",144,"Atlanta Braves","/api/v1/teams/144",2504,"Champion Stadium","/api/v1/venues/2504","/api/v1/game/567143/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",567346,"/api/v1.1/game/567346/feed/live","S","2019","2019-03-01T18:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-567346-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,5,TRUE,FALSE,7,4,3,".571",120,"Washington Nationals","/api/v1/teams/120",4,FALSE,FALSE,7,2,5,".286",146,"Miami Marlins","/api/v1/teams/146",2520,"Roger Dean Chevrolet Stadium","/api/v1/venues/2520","/api/v1/game/567346/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",566852,"/api/v1.1/game/566852/feed/live","S","2019","2019-03-01T18:07:00Z","2019-03-01",TRUE,2,TRUE,"N","N","N","14-566852-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","FT",FALSE,"F","Tied",1,NA,TRUE,8,3,4,".429",134,"Pittsburgh Pirates","/api/v1/teams/134",1,NA,TRUE,8,1,5,".167",141,"Toronto Blue Jays","/api/v1/teams/141",2536,"Dunedin Stadium","/api/v1/venues/2536","/api/v1/game/566852/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",566076,"/api/v1.1/game/566076/feed/live","S","2019","2019-03-01T20:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-566076-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,3,FALSE,FALSE,7,2,4,".333",115,"Colorado Rockies","/api/v1/teams/115",6,TRUE,FALSE,8,3,5,".375",133,"Oakland Athletics","/api/v1/teams/133",2507,"Hohokam Stadium","/api/v1/venues/2507","/api/v1/game/566076/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",566747,"/api/v1.1/game/566747/feed/live","S","2019","2019-03-01T20:05:00Z","2019-03-01",FALSE,1,TRUE,"N","N","N","14-566747-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,8,TRUE,FALSE,8,2,5,".286",145,"Chicago White Sox","/api/v1/teams/145",5,FALSE,FALSE,7,2,4,".333",140,"Texas Rangers","/api/v1/teams/140",2603,"Surprise Stadium","/api/v1/venues/2603","/api/v1/game/566747/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",564818,"/api/v1.1/game/564818/feed/live","S","2019","2019-03-01T20:10:00Z","2019-03-01",FALSE,1,TRUE,"N","E","N","14-564818-2019-03-01","2019","day",9,FALSE,120,1,1,"Spring Training","S","N","Normal Game","Final","F","Final","F",FALSE,"F",NA,10,TRUE,FALSE,8,5,3,".625",112,"Chicago Cubs","/api/v1/teams/112",2,FALSE,FALSE,7,4,2,".667",109,"Arizona Diamondbacks","/api/v1/teams/109",4249,"Salt River Fields at Talking Stick","/api/v1/venues/4249","/api/v1/game/564818/content",NA,NA,NA,NA,NA,NA,NA,NA,NA
