"","game_pk","link","gameType","season","gameDate","officialDate","isTie","gameNumber","publicFacing","doubleHeader","gamedayType","tiebreaker","calendarEventID","seasonDisplay","dayNight","scheduledInnings","reverseHomeAwayStatus","inningBreakLength","gamesInSeries","seriesGameNumber","seriesDescription","recordSource","ifNecessary","ifNecessaryDescription","status.abstractGameState","status.codedGameState","status.detailedState","status.statusCode","status.startTimeTBD","status.abstractGameCode","teams.away.score","teams.away.isWinner","teams.away.splitSquad","teams.away.seriesNumber","teams.away.leagueRecord.wins","teams.away.leagueRecord.losses","teams.away.leagueRecord.pct","teams.away.team.id","teams.away.team.name","teams.away.team.link","teams.home.score","teams.home.isWinner","teams.home.splitSquad","teams.home.seriesNumber","teams.home.leagueRecord.wins","teams.home.leagueRecord.losses","teams.home.leagueRecord.pct","teams.home.team.id","teams.home.team.name","teams.home.team.link","venue.id","venue.name","venue.link","content.link","description","rescheduleDate","rescheduleGameDate","status.reason","rescheduledFrom","rescheduledFromDate","resumeDate","resumeGameDate","resumedFrom","resumedFromDate"
"1",591849,"/api/v1.1/game/591849/feed/live","E","2019","2019-03-24T01:00:00Z","2019-03-23",FALSE,1,TRUE,"N","Y","N","44-591849-2019-03-23","2019","night",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",11,TRUE,FALSE,0,1,0,"1.000",374,"San Diego Padres Futures","/api/v1/teams/374",2,FALSE,FALSE,0,0,1,".000",532,"Diablos Rojos del Mexico","/api/v1/teams/532",5340,"Estadio Alfredo Harp Helu","/api/v1/venues/5340","/api/v1/game/591849/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",583274,"/api/v1.1/game/583274/feed/live","E","2019","2019-03-24T18:05:00Z","2019-03-24",FALSE,1,TRUE,"N","N","N","14-583274-2019-03-24","2019","day",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,TRUE,0,0,1,".000",140,"Texas Rangers","/api/v1/teams/140",4,TRUE,FALSE,0,1,0,"1.000",556,"Nashville Sounds","/api/v1/teams/556",4715,"First Tennessee Park","/api/v1/venues/4715","/api/v1/game/583274/content","in Nashville, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"3",591850,"/api/v1.1/game/591850/feed/live","E","2019","2019-03-24T19:00:00Z","2019-03-24",FALSE,1,TRUE,"N","Y","N","44-591850-2019-03-24","2019","day",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",9,TRUE,FALSE,0,2,0,"1.000",374,"San Diego Padres Futures","/api/v1/teams/374",6,FALSE,FALSE,0,0,2,".000",532,"Diablos Rojos del Mexico","/api/v1/teams/532",5340,"Estadio Alfredo Harp Helu","/api/v1/venues/5340","/api/v1/game/591850/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4",568145,"/api/v1.1/game/568145/feed/live","E","2019","2019-03-25T17:05:00Z","2019-03-25",FALSE,1,TRUE,"N","N","N","14-568145-2019-03-25","2019","day",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,TRUE,FALSE,0,1,0,"1.000",534,"Rochester Red Wings","/api/v1/teams/534",2,FALSE,FALSE,0,0,1,".000",142,"Minnesota Twins","/api/v1/teams/142",2862,"CenturyLink Sports Complex","/api/v1/venues/2862","/api/v1/game/568145/content","vs. Rochester",NA,NA,NA,NA,NA,NA,NA,NA,NA
"5",578984,"/api/v1.1/game/578984/feed/live","E","2019","2019-03-25T19:05:00Z","2019-03-25",FALSE,1,TRUE,"N","N","N","14-578984-2019-03-25","2019","day",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,0,0,1,".000",115,"Colorado Rockies","/api/v1/teams/115",7,TRUE,FALSE,0,1,0,"1.000",342,"Albuquerque Isotopes","/api/v1/teams/342",2683,"Isotopes Park","/api/v1/venues/2683","/api/v1/game/578984/content","in Albuquerque, NM",NA,NA,NA,NA,NA,NA,NA,NA,NA
"6",568209,"/api/v1.1/game/568209/feed/live","E","2019","2019-03-25T23:05:00Z","2019-03-25",FALSE,1,TRUE,"N","N","N","14-568209-2019-03-25","2019","night",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",2,FALSE,FALSE,0,0,1,".000",118,"Kansas City Royals","/api/v1/teams/118",3,TRUE,FALSE,0,1,0,"1.000",541,"Omaha Storm Chasers","/api/v1/teams/541",4271,"Werner Park","/api/v1/venues/4271","/api/v1/game/568209/content","in Omaha, NE",NA,NA,NA,NA,NA,NA,NA,NA,NA
"7",568404,"/api/v1.1/game/568404/feed/live","E","2019","2019-03-26T00:00:00Z","2019-03-25",FALSE,1,TRUE,"N","N","N","14-568404-2019-03-25","2019","night",9,FALSE,120,0,0,"Exhibition","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,0,1,0,"1.000",138,"St. Louis Cardinals","/api/v1/teams/138",3,FALSE,FALSE,0,0,1,".000",235,"Memphis Redbirds","/api/v1/teams/235",2542,"AutoZone Park","/api/v1/venues/2542","/api/v1/game/568404/content","in Memphis, TN",NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",575295,"/api/v1.1/game/575295/feed/live","R","2019","2019-04-04T18:05:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-575295-2019-04-04","2019","day",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",3,FALSE,FALSE,1,0,1,".000",531,"Scranton/Wilkes-Barre RailRiders","/api/v1/teams/531",8,TRUE,FALSE,1,1,0,"1.000",422,"Buffalo Bisons","/api/v1/teams/422",2756,"Sahlen Field","/api/v1/venues/2756","/api/v1/game/575295/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9",575931,"/api/v1.1/game/575931/feed/live","R","2019","2019-04-04T18:05:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-575931-2019-04-04","2019","day",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",6,TRUE,FALSE,1,1,0,"1.000",533,"Pawtucket Red Sox","/api/v1/teams/533",3,FALSE,FALSE,1,0,1,".000",552,"Syracuse Mets","/api/v1/teams/552",2823,"NBT Bank Stadium","/api/v1/venues/2823","/api/v1/game/575931/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"10",575645,"/api/v1.1/game/575645/feed/live","R","2019","2019-04-04T20:05:00Z","2019-04-04",FALSE,1,TRUE,"N","Y","N","44-575645-2019-04-04","2019","day",9,FALSE,120,4,1,"Regular Season","S","N","Normal Game","Final","F","Final","F",FALSE,"F",5,FALSE,FALSE,1,0,1,".000",416,"Louisville Bats","/api/v1/teams/416",10,TRUE,FALSE,1,1,0,"1.000",512,"Toledo Mud Hens","/api/v1/teams/512",2767,"Fifth Third Field","/api/v1/venues/2767","/api/v1/game/575645/content",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
